state,year,type,office,juris,dist,url
CA,2016,general,,San Francisco,At_Large,https://sfelections.org/results/20161108/data/20161122/20161122_neigh.pdf
CA,2016,general,,San Francisco,At_Large,https://sfelections.org/results/20161108/data/20161121/summary.pdf
CA,2016,general,,San Francisco,At_Large,https://sfelections.org/results/20161108/data/20161121/20161121_psov.pdf
CA,2016,general,,San Francisco,At_Large,https://sfelections.org/results/20161108/data/20161121/d1/20161121_d1.pdf
CA,2016,general,,San Francisco,At_Large,https://sfelections.org/results/20161108/data/20161121/d3/20161121_d3.pdf
CA,2016,general,,San Francisco,At_Large,https://sfelections.org/results/20161108/data/20161121/d5/20161121_d5.pdf
CA,2016,general,,San Francisco,At_Large,https://sfelections.org/results/20161108/data/20161121/d7/20161121_d7.pdf
CA,2016,general,,San Francisco,At_Large,https://sfelections.org/results/20161108/data/20161121/d9/20161121_d9.pdf
CA,2016,general,,San Francisco,At_Large,https://sfelections.org/results/20161108/data/20161121/d11/20161121_d11.pdf
CA,2016,general,,San Francisco,At_Large,https://sfelections.org/results/20161108/data/20161121/20161121_neigh.pdf
CA,2016,general,,San Francisco,At_Large,https://sfelections.org/results/20161108/data/20161120/summary.pdf
CA,2016,general,,San Francisco,At_Large,https://sfelections.org/results/20161108/data/20161120/20161120_psov.pdf
CA,2016,general,,San Francisco,At_Large,https://sfelections.org/results/20161108/data/20161120/d1/20161120_d1.pdf
CA,2016,general,,San Francisco,At_Large,https://sfelections.org/results/20161108/data/20161120/d3/20161120_d3.pdf
CA,2016,general,,San Francisco,At_Large,https://sfelections.org/results/20161108/data/20161120/d5/20161120_d5.pdf
CA,2016,general,,San Francisco,At_Large,https://sfelections.org/results/20161108/data/20161120/d7/20161120_d7.pdf
CA,2016,general,,San Francisco,At_Large,https://sfelections.org/results/20161108/data/20161120/d9/20161120_d9.pdf
CA,2016,general,,San Francisco,At_Large,https://sfelections.org/results/20161108/data/20161120/d11/20161120_d11.pdf
CA,2016,general,,San Francisco,At_Large,https://sfelections.org/results/20161108/data/20161120/20161120_neigh.pdf
CA,2016,general,,San Francisco,At_Large,https://sfelections.org/results/20161108/data/20161119/summary.pdf
CA,2016,general,,San Francisco,At_Large,https://sfelections.org/results/20161108/data/20161119/20161119_psov.pdf
CA,2016,general,,San Francisco,At_Large,https://sfelections.org/results/20161108/data/20161119/d1/20161119_d1.pdf
CA,2016,general,,San Francisco,At_Large,https://sfelections.org/results/20161108/data/20161119/d3/20161119_d3.pdf
CA,2016,general,,San Francisco,At_Large,https://sfelections.org/results/20161108/data/20161119/d5/20161119_d5.pdf
CA,2016,general,,San Francisco,At_Large,https://sfelections.org/results/20161108/data/20161119/d7/20161119_d7.pdf
CA,2016,general,,San Francisco,At_Large,https://sfelections.org/results/20161108/data/20161119/d9/20161119_d9.pdf
CA,2016,general,,San Francisco,At_Large,https://sfelections.org/results/20161108/data/20161119/d11/20161119_d11.pdf
CA,2016,general,,San Francisco,At_Large,https://sfelections.org/results/20161108/data/20161119/20161119_neigh.pdf
CA,2016,general,,San Francisco,At_Large,https://sfelections.org/results/20161108/data/20161118/summary.pdf
CA,2016,general,,San Francisco,At_Large,https://sfelections.org/results/20161108/data/20161118/20161118_psov.pdf
CA,2016,general,,San Francisco,At_Large,https://sfelections.org/results/20161108/data/20161118/d1/20161118_d1.pdf
CA,2016,general,,San Francisco,At_Large,https://sfelections.org/results/20161108/data/20161118/d3/20161118_d3.pdf
CA,2016,general,,San Francisco,At_Large,https://sfelections.org/results/20161108/data/20161118/d5/20161118_d5.pdf
CA,2016,general,,San Francisco,At_Large,https://sfelections.org/results/20161108/data/20161118/d7/20161118_d7.pdf
CA,2016,general,,San Francisco,At_Large,https://sfelections.org/results/20161108/data/20161118/d9/20161118_d9.pdf
CA,2016,general,,San Francisco,At_Large,https://sfelections.org/results/20161108/data/20161118/d11/20161118_d11.pdf
CA,2016,general,,San Francisco,At_Large,https://sfelections.org/results/20161108/data/20161118/20161118_neigh.pdf
CA,2016,general,,San Francisco,At_Large,https://sfelections.org/results/20161108/data/20161117/summary.pdf
CA,2016,general,,San Francisco,At_Large,https://sfelections.org/results/20161108/data/20161117/20161117_psov.pdf
CA,2016,general,,San Francisco,At_Large,https://sfelections.org/results/20161108/data/20161117/d1/20161117_d1.pdf
CA,2016,general,,San Francisco,At_Large,https://sfelections.org/results/20161108/data/20161117/d3/20161117_d3.pdf
CA,2016,general,,San Francisco,At_Large,https://sfelections.org/results/20161108/data/20161117/d5/20161117_d5.pdf
CA,2016,general,,San Francisco,At_Large,https://sfelections.org/results/20161108/data/20161117/d7/20161117_d7.pdf
CA,2016,general,,San Francisco,At_Large,https://sfelections.org/results/20161108/data/20161117/d9/20161117_d9.pdf
CA,2016,general,,San Francisco,At_Large,https://sfelections.org/results/20161108/data/20161117/d11/20161117_d11.pdf
CA,2016,general,,San Francisco,At_Large,https://sfelections.org/results/20161108/data/20161117/20161117_neigh.pdf
CA,2016,general,,San Francisco,At_Large,https://sfelections.org/results/20161108/data/20161116/summary.pdf
CA,2016,general,,San Francisco,At_Large,https://sfelections.org/results/20161108/data/20161116/20161116_psov.pdf
CA,2016,general,,San Francisco,At_Large,https://sfelections.org/results/20161108/data/20161116/d1/20161116_d1.pdf
CA,2016,general,,San Francisco,At_Large,https://sfelections.org/results/20161108/data/20161116/d3/20161116_d3.pdf
CA,2016,general,,San Francisco,At_Large,https://sfelections.org/results/20161108/data/20161116/d5/20161116_d5.pdf
CA,2016,general,,San Francisco,At_Large,https://sfelections.org/results/20161108/data/20161116/d7/20161116_d7.pdf
CA,2016,general,,San Francisco,At_Large,https://sfelections.org/results/20161108/data/20161116/d9/20161116_d9.pdf
CA,2016,general,,San Francisco,At_Large,https://sfelections.org/results/20161108/data/20161116/d11/20161116_d11.pdf
CA,2016,general,,San Francisco,At_Large,https://sfelections.org/results/20161108/data/20161116/20161116_neigh.pdf
CA,2016,general,,San Francisco,At_Large,https://sfelections.org/results/20161108/data/20161115/summary.pdf
CA,2016,general,,San Francisco,At_Large,https://sfelections.org/results/20161108/data/20161115/20161115_psov.pdf
CA,2016,general,,San Francisco,At_Large,https://sfelections.org/results/20161108/data/20161115/d1/20161115_d1.pdf
CA,2016,general,,San Francisco,At_Large,https://sfelections.org/results/20161108/data/20161115/d3/20161115_d3.pdf
CA,2016,general,,San Francisco,At_Large,https://sfelections.org/results/20161108/data/20161115/d5/20161115_d5.pdf
CA,2016,general,,San Francisco,At_Large,https://sfelections.org/results/20161108/data/20161115/d7/20161115_d7.pdf
CA,2016,general,,San Francisco,At_Large,https://sfelections.org/results/20161108/data/20161115/d9/20161115_d9.pdf
CA,2016,general,,San Francisco,At_Large,https://sfelections.org/results/20161108/data/20161115/d11/20161115_d11.pdf
CA,2016,general,,San Francisco,At_Large,https://sfelections.org/results/20161108/data/20161115/20161115_neigh.pdf
CA,2016,general,,San Francisco,At_Large,https://sfelections.org/results/20161108/data/20161114/summary.pdf
CA,2016,general,,San Francisco,At_Large,https://sfelections.org/results/20161108/data/20161114/20161114_psov.pdf
CA,2016,general,,San Francisco,At_Large,https://sfelections.org/results/20161108/data/20161114/d1/20161114_d1.pdf
